pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
6.24,24.913,0.6,572.74,254.51,105.4,0.50268,150.97,37,3,500,21239,21449,21426,21359,21133,21081,21051,20987,20739,20681,20865,20644,20461,19988,19819,19500,18579,17622,15945,13029,8470.9,3915.2,3983,8106.3,11940,14750,16610,17924,18767,19251,19523,19778,20221,20269,20497,20802,20981,20711,20859,20883,20921,21016,21089,20949,21022,20901,20971,21286,21086,20998,21029,21153,21139,21106,20993,20942,21141,21090,21211,21116,21082,20906,21142,21028,21030,21056,21098,21174,21401,21081,21332,21276,21412,21360,21402,21360,21246,21439,21409,21364,21433
6.41,24.777,0.6,603.5,248.3,111.73,0.5537,166.3,37,3,500,24316,24188,24187,24169,24318,23812,23883,23816,23538,23594,23455,23186,23095,22716,22438,22178,21278,20304,18482,15690,11046,5306.7,3239.4,7317.9,12084,15503,18090,19567,20747,21590,21975,22265,22537,22769,23315,23479,23436,23390,23463,23668,23726,23722,23716,23551,23719,23851,23940,23873,23663,23641,23619,23674,23711,23765,23749,23869,23893,23810,23838,23761,23794,23835,23577,23701,23517,23838,23775,23785,23854,24003,23889,24032,24123,24043,24089,23978,24050,24232,24120,24246,24174
6.54,24.802,0.6,612.75,255.44,106.12,0.57575,172.92,37,3,500,24187,24298,24021,24030,24043,23993,23702,23733,23526,23564,23394,23355,23297,22860,22526,22256,21354,20493,18940,16229,11901,5864,3343.1,6688.1,11524,15304,17917,19532,20822,21636,21881,22437,22449,22840,23101,23399,23636,23543,23303,23475,23618,23656,23531,23744,23644,23600,23659,23674,23639,23571,23330,23537,23530,23537,23665,23596,23710,23831,23599,23886,23687,23768,23750,23510,23575,23381,23616,23463,23659,23657,23945,23862,24167,24328,24221,24029,24085,23979,24280,24041,24146
6.7,24.826,0.6,613.34,253.39,102.1,0.58175,174.72,37,3,500,22470,22425,22667,22475,22374,22214,22164,22199,22015,22109,21721,21656,21410,21230,20967,20514,19976,19317,17792,15418,11290,5616.4,3115.1,6444,11169,14543,16597,18329,19447,20084,20469,20762,20939,21502,21462,21692,21583,21911,21889,21827,21901,21881,21866,21886,22061,21963,21818,21798,22024,21893,21844,21677,21773,21728,21875,21947,22005,21879,22012,22001,22020,21846,21956,21813,21985,21842,21925,21963,22001,22169,22011,22241,22329,22334,22269,22492,22332,22425,22403,22299,22455
6.87,24.752,0.6,599.82,246.22,93.572,0.39826,119.61,37,3,500,19217,19087,19247,19060,19027,19017,18769,18797,18746,18647,18426,18445,18374,18131,17800,17495,16599,15859,13829,10615,5680.1,2670.5,5312.3,9197.3,12102,14212,15508,16456,17211,17419,17745,17858,18163,18423,18455,18633,18404,18768,18398,18624,18644,18700,18623,18649,18597,18583,18472,18433,18306,18299,18467,18250,18467,18488,18697,18521,18735,18447,18604,18771,18754,18655,18550,18618,18720,18749,18700,18672,18774,18868,18864,18867,18888,19034,18962,19049,19043,19045,19023,19007,19052
6.99,24.913,0.6,564.12,236.84,106.74,0.17308,51.983,37,3,500,21541,21497,21579,21462,21393,21112,21065,20908,20938,20517,20617,20282,20019,19543,18907,18070,16719,14125,10271,4902.1,2641.1,5813.7,10046,13211,15459,16875,18036,18909,19342,19554,19802,20033,20587,20613,20928,20718,20741,20785,20949,20841,20807,20676,20882,20886,20715,20577,20555,20511,20483,20462,20604,20759,20829,20955,20813,20739,20752,20869,20839,20803,20840,20915,20928,21087,20983,21150,20937,21178,21318,21143,21111,21229,21368,21237,21371,21294,21326,21314,21326,21373,21383
7.18,24.93,0.6,592.08,217.56,112.79,0.2531,76.015,37,3,500,23782,23889,24041,23847,23858,23489,23468,23319,23230,23014,22810,22643,22193,21848,21347,20289,18807,16394,12530,7023.9,3004.2,4324.9,8894.4,12814,15990,17959,19285,20378,21069,21514,21847,22238,22518,22528,22899,22902,23037,22890,23034,23033,22950,23202,22905,22854,22920,22719,22721,22531,22601,22561,22749,22837,22861,23148,23158,23079,23221,23172,23181,23253,23284,23175,23279,23315,23533,23306,23280,23608,23659,23556,23509,23563,23691,23651,23840,23870,23759,23903,24028,23769,23937
7.27,24.75,0.6,598.36,210.73,109.91,0.25509,76.611,37,3,500,23522,23726,23180,23717,23517,23321,23181,22990,22959,22571,22511,22377,22022,21459,20807,19997,18630,16311,12366,7205.8,3256.5,4344.6,8743.4,12816,15510,17642,19227,20251,20742,21185,21773,22057,22115,22201,22537,22550,22420,22730,22428,22889,22562,22557,22712,22559,22427,22227,22516,22304,22296,22158,22311,22364,22584,22727,22838,22780,23044,22786,23041,22889,23152,23164,23088,23024,23094,23214,23024,23212,23402,23243,23432,23270,23551,23456,23450,23548,23334,23532,23501,23577,23646
6.22,24.945,0.43,475.98,223.15,101.51,0.26492,79.565,37,3,500,22555,22555,22510,22506,22437,22399,22159,22218,21999,21940,21779,21546,21256,20830,20574,19928,18889,17031,13982,8900.7,3741.1,4935.3,9883.3,13952,16379,18213,19384,20378,20694,20967,21252,21503,21854,22002,22003,22062,22209,22392,22122,22147,22147,22161,22246,22299,22348,22245,22185,22141,22189,22292,22038,22277,22292,22347,22415,22404,22390,22416,22203,22317,22123,22137,22155,22329,22255,22585,22454,22391,22389,22493,22610,22433,22569,22517,22521,22589,22466,22635,22446,22555,22575
