pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
6.24,24.913,0.6,542.28,249.45,108.13,0.54486,163.64,34,2,500,21208,21120,21187,21451,21209,21228,21105,21106,21105,21033,20966,20773,20750,20708,20654,20407,20192,19778,19148,17692,14365,7181.4,4428.4,10681,15331,17342,18704,19582,20111,20433,20431,20576,20632,20929,21083,20983,20982,21179,21039,20817,21272,21123,21031,21095,20992,21144,20957,21137,20999,21158,21085,20927,20878,20978,21021,21035,20887,21230,21194,21174,21085,21175,21080,21101,21013,21126,21145,21113,21222,21126,21090,21312,21090,21288,21056,21266,21286,21229,21201,21203,21402
6.41,24.777,0.6,577.5,241.74,114.76,0.58394,175.38,34,2,500,24065,24202,24133,24144,23938,24011,23891,23810,23975,23835,23732,23883,23649,23681,23473,23117,23093,22597,21824,20417,16955,9733.1,4499.2,10360,16217,19171,20809,21852,22559,22942,23188,23242,23350,23703,23869,23764,23934,23944,23944,23754,24175,23829,23773,23830,23959,23987,23874,23927,24100,23965,23824,23772,23899,23885,24066,23863,23925,23926,23998,23829,23831,23876,24058,23969,23940,23788,23911,23821,23911,24092,24014,23982,24047,24065,24200,24108,24185,24228,24314,24270,24199
6.54,24.802,0.6,581.31,249.82,109.17,0.569,170.89,34,2,500,24166,23946,24052,24129,24015,23745,23879,24021,23851,23984,23800,23664,23436,23439,23394,23190,23018,22709,21807,20183,16989,9042.8,4306.5,11078,16719,19198,21013,22010,22720,22976,23359,23114,23272,23762,23804,23564,23968,23796,23902,23793,23750,23867,23826,23784,23900,24012,23902,23933,23756,23895,23790,23595,23695,23682,23907,23934,23763,23991,23931,23950,24049,23805,23853,23723,23655,23685,23826,23782,23801,24207,23914,23890,23954,24241,23953,23864,23921,24031,24073,24035,24111
6.7,24.826,0.6,579.12,251.75,104.66,0.53595,160.97,34,2,500,22501,22201,22418,22150,22290,22251,22041,22040,22216,22092,22115,21963,21934,21778,21749,21551,21449,20696,20128,18470,14824,6980.2,4441.3,11570,16139,18225,19795,20598,21151,21281,21598,21715,21836,21840,21857,22049,21895,21947,22095,22002,22182,22140,21958,22137,22140,21991,22255,22072,22057,22133,21981,22047,22210,21955,22181,22316,22056,22245,22108,21970,21937,22166,21959,22013,22136,22178,22065,22159,22237,22123,22150,22225,22335,22238,22230,22063,22177,22415,22317,22267,22313
6.87,24.752,0.6,566.69,245.82,94.09,0.31579,94.843,34,2,500,19161,18901,18933,18935,18910,18743,18757,18828,18757,18680,18817,18622,18645,18511,18313,18211,17933,17003,15811,12697,5968.2,4659.5,10475,14043,15961,16887,17545,17832,18056,18248,18327,18379,18599,18495,18733,18863,18749,18904,18623,18722,18567,18847,18787,18593,18675,18739,18715,18616,18501,18365,18513,18719,18747,18695,18819,18698,18643,18885,18719,18788,18731,18695,18900,18770,18555,18684,18678,18944,18726,18775,18789,18925,19001,18909,18837,19066,19077,19000,18873,18981,18834
6.99,24.913,0.6,536.05,234.24,109.23,0.2666,80.07,34,2,500,21438,21341,21431,21476,21172,21211,20990,21027,21127,21058,21093,20944,20832,20560,20553,20048,19588,18474,16359,11704,3767.3,6208,12490,15930,17811,18810,19654,20214,20482,20480,20685,20704,20965,20978,21076,21116,21006,21068,21128,21042,21099,21118,21050,20958,21079,21084,20859,20897,20789,20829,20774,21016,21022,21059,21147,21029,21018,21191,21049,21170,21180,21119,21081,21173,21211,20982,21117,21145,21209,21228,21274,21380,21346,21209,21248,21391,21259,21282,21247,21388,21372
7.18,24.93,0.6,567.83,216.62,115.78,0.28365,85.19,34,2,500,23895,23834,23823,23842,23840,23626,23363,23609,23715,23420,23460,23228,23251,23009,22651,22342,21784,20544,18172,12823,4165.8,5842.3,12889,17110,19465,20695,21658,22212,22587,22734,22914,23216,23172,23539,23368,23421,23336,23396,23434,23381,23519,23471,23408,23504,23363,23198,23290,23120,22961,23011,23263,23212,23327,23402,23471,23457,23414,23706,23587,23582,23405,23385,23514,23521,23638,23557,23591,23824,23737,23833,23661,23580,23676,23660,23782,23832,23772,23754,23902,24040,23792
7.27,24.75,0.6,571.86,212.22,111.84,0.24629,73.968,34,2,500,23406,23657,23510,23499,23491,23330,23336,23362,23333,23008,23003,23004,22721,22596,22515,21998,21122,19974,17137,11402,3682.8,7353.8,13818,17741,19731,20922,21625,22107,22377,22497,22704,22833,23023,23037,22986,22890,22954,23103,23186,23214,23055,23070,23032,22879,23021,23058,22764,22832,22768,22797,22882,22911,23193,22926,23259,23322,23093,23240,23376,23312,23328,23311,23245,23282,23164,23267,23199,23355,23282,23309,23464,23351,23367,23415,23629,23444,23390,23377,23375,23473,23438
6.22,24.945,0.43,449.54,218.09,105.93,0.2186,65.653,34,2,500,22504,22553,22420,22376,22502,22257,22437,22277,22014,22050,21913,21866,21960,21693,21341,21200,20687,19426,17073,11058,3191.8,9891.3,15720,18344,19703,20541,21089,21364,21532,21690,21815,21931,22128,22129,22204,22212,22297,22254,22324,22212,22166,22168,22184,22477,22200,22231,22170,22164,22117,22084,22126,22151,22240,22312,22250,22268,22333,22192,22148,22039,22243,22194,22222,22311,22214,22289,22412,22402,22304,22284,22316,22312,22361,22288,22329,22220,22462,22333,22444,22372,22150
6.41,24.943,0.43,439.04,224.65,91.135,0.022292,6.695,34,2,500,18549,18459,18621,18514,18511,18390,18624,18452,18300,18282,18300,18296,18186,17933,17832,17400,16503,14915,10480,3454.3,8281.6,13319,15531,16438,17361,17741,17861,18156,18048,18007,18548,18482,18441,18276,18417,18409,18466,18623,18538,18598,18447,18419,18462,18375,18385,18348,18514,18560,18528,18438,18413,18424,18530,18349,18415,18449,18541,18424,18314,18573,18320,18389,18485,18411,18587,18593,18480,18545,18491,18511,18369,18649,18567,18710,18674,18572,18584,18707,18502,18577,18679
6.52,24.913,0.43,428.65,215.74,108.73,0.12102,36.347,34,2,500,22145,21968,21985,22080,22059,21868,21957,21873,21721,21630,21797,21516,21626,21323,21047,20463,19839,18229,14345,6544.1,5250,12489,16794,18654,19638,20453,20981,21307,21250,21385,21492,21558,21737,21841,21727,21824,22001,21803,21809,21907,21941,21888,21898,22008,21981,21830,21801,21855,21907,21849,21861,21919,21933,21982,21981,21910,22089,21863,21836,21837,21897,21753,21942,21916,22146,21973,22099,21995,22129,22055,22079,22142,22098,22186,22218,21914,22109,22020,22044,22133,22177
6.68,24.876,0.43,450.87,213.95,113.77,0.0874,26.249,34,2,500,24532,24590,24572,24582,24545,24200,24179,24349,24142,24224,24099,24056,23826,23439,23115,22655,21573,19357,14492,5862.4,6897.7,14423,18568,20555,21844,22773,23155,23481,23499,23707,23752,23948,24067,24154,24324,24186,24208,24291,24252,24246,24273,23975,24175,24280,24214,24160,23988,24127,24218,24314,24159,24233,24170,24343,24287,24116,24106,24384,24297,24081,24274,24206,24402,24301,24232,24196,24400,24457,24580,24562,24382,24377,24492,24548,24440,24375,24586,24655,24470,24551,24487
6.85,24.983,0.43,451.19,208.08,111.95,0.11941,35.863,34,2,500,24085,24143,24121,23885,24093,23946,24099,23815,23820,23755,23417,23501,23286,23091,22635,22296,21414,19475,15093,6558.2,5867.6,13462,17835,20085,21249,22329,22762,22942,23277,23327,23319,23539,23641,23814,23975,23888,23897,23779,23861,23888,23915,23691,23870,23747,23784,23773,23542,23675,23503,23931,23838,23709,23836,23906,23941,23888,23719,23887,23746,23897,23888,23769,23827,23788,24039,24025,23970,24214,23865,24063,24079,24072,24184,23981,24138,24083,24109,24172,24124,24262,24284
6.98,24.831,0.43,442.16,205.83,104.56,0.011064,3.3228,34,2,500,21848,21897,21949,21916,21889,21689,21783,21760,21491,21443,21258,21241,21189,20965,20496,20116,18885,16599,10520,3319.1,9380.7,15075,17607,18996,20092,20594,20862,21156,21158,21201,21420,21588,21657,21573,21687,21466,21537,21609,21677,21539,21634,21537,21506,21633,21506,21323,21298,21392,21340,21513,21502,21564,21657,21682,21587,21686,21516,21614,21464,21503,21476,21581,21527,21790,21769,21730,21677,21800,21733,21709,21678,21780,21784,21753,21744,21728,21829,21832,21695,21990,21946
7.17,24.978,0.43,420.42,207.29,89.87,-0.05286,-15.876,34,2,500,17995,17866,18096,18064,18129,17826,17893,17763,17777,17767,17548,17505,17513,17433,17129,16382,15626,13198,6858.9,3765,10318,13856,15511,16329,16934,17334,17328,17555,17730,17443,17918,17720,17913,17747,17785,17937,17689,17875,17788,17949,17735,17756,17869,17694,17749,17538,17771,17553,17825,17885,17837,17778,17911,17968,17933,17723,17981,17912,17901,17823,17970,17957,18091,18086,18033,17975,17829,18051,17871,18029,17840,17986,18016,17847,18088,18189,17934,17999,18019,18028,18108
7.28,24.973,0.43,437.03,194.77,108.06,0.0637,19.131,34,2,500,21741,21780,21925,21947,21642,21814,21620,21582,21605,21401,21347,21382,21182,20995,20573,19983,18915,17024,12073,4470.5,7051.8,13442,16781,18543,19811,20368,20651,20927,20915,21235,21238,21441,21327,21474,21500,21498,21541,21508,21650,21637,21739,21582,21358,21468,21420,21314,21261,21280,21317,21437,21513,21661,21563,21578,21508,21505,21564,21596,21752,21712,21764,21681,21819,21596,21529,21761,21614,21683,21752,21788,21753,21678,21771,21844,22076,22102,21859,21801,21898,21818,21775
