Mice,pH,ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-10,-9,-8,-7,-6,-5,-4,-3,-2,-1.5,-1,-0.5,0,0.5,1,1.5,2,2.5,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.5,8,8.5,9,9.5,10
lucas_1_3_20230717_094926,7.59269899,6.374522197,110.2913053,107.0016589,255.2707812,37,3.5,6002,0.363054535,0.347639362,0.323525664,0.310382442,0.301378883,0.295964268,0.367031856,0.319545276,0.114881206,0.180045986,0.131800066,0.199336926,0.235448976,0.29808108,0.261299601,0.309175695,0.176517402,0.201915179,0.150181996,0.207548606,0.194994455,0.182155814,0.189158888,0.218852789,0.20976441,0.214099437,0.242583236,0.256527185,0.275260481,0.262225067,0.259358808,0.29933667,0.296639492,0.290853936,0.29359469,0.309635695,0.325996351,0.346403226,0.352871589,0.38852754,0.448513394
lucas_1_3_20230717_094926,7.59269899,1269.144062,99.84882662,107.8003227,254.9704626,37,3.5,6002,0.363054535,0.347639362,0.323525664,0.310382442,0.301378883,0.295964268,0.367031856,0.319545276,0.114881206,0.180045986,0.131800066,0.199336926,0.235448976,0.29808108,0.261299601,0.309175695,0.176517402,0.201915179,0.150181996,0.207548606,0.194994455,0.182155814,0.189158888,0.218852789,0.20976441,0.214099437,0.242583236,0.256527185,0.275260481,0.262225067,0.259358808,0.29933667,0.296639492,0.290853936,0.29359469,0.309635695,0.325996351,0.346403226,0.352871589,0.38852754,0.448513394
lucas_1_3_20230717_094926,6.573686004,2166.99771,53.69349103,106.213624,289.5070977,37,3.5,6002,0.440031043,0.413064038,0.414270931,0.384910898,0.377109234,0.363355578,0.320271304,0.291704485,0.22777104,0.194851233,0.152896628,0.106197799,0.064430016,0.051547557,0.085261286,0.142195768,0.170108179,0.208346836,0.238137932,0.261401761,0.254385083,0.286072351,0.296950874,0.283706315,0.295285208,0.313508164,0.320314278,0.32594991,0.331648238,0.374121352,0.366329349,0.356507614,0.358589792,0.366291854,0.375612255,0.409327316,0.427694087,0.420487156,0.424309591,0.433795972,0.442254251
lucas_1_3_20230717_094926,6.573686004,2229.808614,64.25674329,107.5732919,300.0182476,37,3.5,6002,0.440031043,0.413064038,0.414270931,0.384910898,0.377109234,0.363355578,0.320271304,0.291704485,0.22777104,0.194851233,0.152896628,0.106197799,0.064430016,0.051547557,0.085261286,0.142195768,0.170108179,0.208346836,0.238137932,0.261401761,0.254385083,0.286072351,0.296950874,0.283706315,0.295285208,0.313508164,0.320314278,0.32594991,0.331648238,0.374121352,0.366329349,0.356507614,0.358589792,0.366291854,0.375612255,0.409327316,0.427694087,0.420487156,0.424309591,0.433795972,0.442254251
lucas_1_3_20230717_094926,6.526086478,2280.516739,66.78503758,105.6212708,263.6797011,37,3.5,6002,0.466260844,0.455792279,0.442671419,0.443344725,0.434088644,0.399076895,0.387761438,0.370151183,0.317614894,0.306088717,0.286750229,0.251646254,0.222328303,0.173219909,0.099186536,0.052861061,0.041749906,0.065002347,0.11843582,0.125505872,0.146484123,0.185292564,0.19283696,0.213105435,0.247637097,0.256383482,0.256412828,0.272979294,0.2888138,0.29305088,0.291851955,0.303108775,0.319265723,0.335497027,0.345110208,0.376581292,0.387007183,0.385762025,0.416087433,0.438219159,0.421896884
lucas_1_3_20230717_094926,6.526086478,2074.984321,66.47389374,105.9923099,255.2707812,37,3.5,6002,0.466260844,0.455792279,0.442671419,0.443344725,0.434088644,0.399076895,0.387761438,0.370151183,0.317614894,0.306088717,0.286750229,0.251646254,0.222328303,0.173219909,0.099186536,0.052861061,0.041749906,0.065002347,0.11843582,0.125505872,0.146484123,0.185292564,0.19283696,0.213105435,0.247637097,0.256383482,0.256412828,0.272979294,0.2888138,0.29305088,0.291851955,0.303108775,0.319265723,0.335497027,0.345110208,0.376581292,0.387007183,0.385762025,0.416087433,0.438219159,0.421896884
lucas_1_3_20230717_094926,6.464338447,2216.233079,71.38019288,106.4282831,300.0182476,37,3.5,6002,0.47965632,0.462664636,0.454428102,0.45150014,0.427397907,0.413349805,0.406002331,0.364708204,0.325716731,0.324814801,0.282352304,0.278028434,0.217491495,0.15828234,0.105344339,0.064337406,0.05563363,0.094717544,0.136348198,0.163482581,0.190622894,0.204779334,0.219340886,0.244235135,0.261028447,0.248907816,0.289262525,0.300660131,0.286613047,0.288533503,0.319999446,0.327418669,0.338504327,0.341685734,0.391770075,0.386943588,0.397779565,0.409485549,0.445448948,0.432230525,0.442279003
lucas_1_3_20230717_094926,6.464338447,2138.352983,61.86178893,108.158265,240.5551715,37,3.5,6002,0.47965632,0.462664636,0.454428102,0.45150014,0.427397907,0.413349805,0.406002331,0.364708204,0.325716731,0.324814801,0.282352304,0.278028434,0.217491495,0.15828234,0.105344339,0.064337406,0.05563363,0.094717544,0.136348198,0.163482581,0.190622894,0.204779334,0.219340886,0.244235135,0.261028447,0.248907816,0.289262525,0.300660131,0.286613047,0.288533503,0.319999446,0.327418669,0.338504327,0.341685734,0.391770075,0.386943588,0.397779565,0.409485549,0.445448948,0.432230525,0.442279003
lucas_1_3_20230717_094926,6.943386932,1097.219123,107.9118119,105.9132497,283.801045,37,3.5,6002,0.41788864,0.395674827,0.37473647,0.38152929,0.35430085,0.337834708,0.323708773,0.344742349,0.319396167,0.245958866,0.161298008,0.154002442,0.10555558,0.094033906,0.104187811,0.140091074,0.133248451,0.172035966,0.146498402,0.139041578,0.176509273,0.181271898,0.166914281,0.195415254,0.215294898,0.218925882,0.218240913,0.235025377,0.241625982,0.251888092,0.269010393,0.290660726,0.305172455,0.307780676,0.306000823,0.338735154,0.335440838,0.357449033,0.381083172,0.37697202,0.368751493
