pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
7.16,9.8922,3.4,4177.3,451.37,113.11,0.3973,119.32,40,0.5,500,10308,10193,10349,10026,10247,10214,10071,10036,10146,10047,10155,10090,10181,10193,10142,10191,10126,10136,10195,9864.9,9715.6,7691.3,8550.9,9258,9491.9,9737.9,9854.4,9942,9980.4,10060,10070,10183,10174,10006,10125,10311,10098,10170,10083,10126,10152,10306,10362,10211,10305,10122,10252,10115,10079,10104,10154,9986.7,10208,10300,10237,10116,10123,10056,9966.5,10098,10184,10219,10222,10239,10011,10040,10303,10140,10115,10265,10094,10102,10211,9977.3,10228,10193,10185,10095,10100,10203,10230
7.27,9.9463,3.4,4249.3,456.28,113.57,0.48624,146.04,40,0.5,500,11524,11535,11677,11589,11608,11716,11736,11613,11490,11573,11649,11781,11610,11725,11546,11696,11547,11780,11552,11597,11389,10857,10892,11376,11376,11572,11469,11513,11537,11609,11715,11794,11735,11543,11710,11558,11619,11583,11660,11681,11539,11637,11509,11519,11790,11454,11530,11467,11568,11755,11419,11671,11553,11559,11714,11545,11594,11682,11674,11849,11626,11744,11715,11532,11505,11717,11689,11631,11573,11702,11747,11540,11820,11696,11605,11464,11800,11732,11727,11621,11532
6.24,9.9701,1.6,1268.7,380.04,110.14,0.55079,165.42,40,0.5,500,19239,19322,19117,18962,19185,19230,19029,19201,19113,19193,19279,19159,19063,19192,19111,19189,19305,19244,19077,19025,19008,18279,16527,17988,18658,18939,19287,19148,19237,19187,19218,19214,19291,19058,19306,19339,19196,19165,19063,19307,19295,19153,19338,19189,19181,19152,19056,19284,19144,19073,19101,19171,19264,19252,19188,19236,19201,19184,19210,19135,19083,19301,19332,19336,19216,19151,19138,19337,19202,19221,19256,19162,19236,19248,19224,19136,19248,19171,19296,19266,19024
6.41,9.9641,1.6,1335.2,407.9,107.1,0.46531,139.75,40,0.5,500,18756,18967,18644,18699,18635,18621,18875,18779,18703,18726,18859,18732,18715,18821,18769,18719,18846,18631,18873,18551,18682,16102,17399,18246,18499,18700,18670,18752,18679,18751,18623,18627,18862,18721,18793,18720,18682,18611,18816,18787,18832,18629,18809,18725,18727,18801,18689,18838,18631,18687,18845,18698,18631,18727,18773,18711,18627,18852,18756,18728,18769,18868,18805,18952,18860,18637,18780,18665,18696,18975,18835,18775,18973,18842,18805,18451,18918,18848,18667,18680,18771
6.56,9.9592,1.6,1325.2,422.1,101.97,0.36159,108.6,40,0.5,500,16079,16103,16133,16006,15982,16086,16184,16365,15869,16184,16162,16004,16133,16186,16272,15912,16071,16064,16230,15932,15626,11254,14442,15452,15867,16043,16040,15970,16178,16132,16073,15940,16187,16178,16276,16099,16142,16289,16136,16143,16070,16287,16018,16032,16077,16190,16056,16252,16037,16158,16215,16161,16229,16216,16042,16237,16174,16109,16002,16177,16205,16153,16038,16110,16176,16156,16148,16072,16003,16050,16253,16227,15929,16137,16129,16063,16283,16136,16216,16224,16148
6.71,9.9602,1.6,1312.2,340.18,118.03,0.054729,16.437,40,0.5,500,16357,16494,16444,16389,16400,16443,16526,16440,16583,16461,16505,16556,16346,16414,16528,16562,16323,16396,16140,14767,15122,16061,16397,16388,16376,16381,16521,16561,16291,16428,16334,16507,16407,16392,16506,16561,16482,16523,16301,16380,16584,16570,16523,16448,16534,16612,16495,16351,16607,16376,16347,16615,16506,16592,16619,16453,16475,16442,16423,16374,16377,16519,16358,16228,16450,16504,16416,16511,16490,16507,16536,16363,16443,16483,16431,16410,16533,16456,16357,16396,16519
6.87,9.9354,1.6,1352.7,328.13,121.39,0.19773,59.384,40,0.5,500,18494,18518,18297,18453,18442,18297,18624,18358,18578,18473,18541,18600,18490,18434,18513,18346,18700,18527,18307,18096,9321.9,15357,17412,18111,18304,18696,18422,18435,18690,18473,18566,18467,18623,18385,18533,18444,18406,18510,18426,18486,18353,18430,18631,18421,18497,18374,18425,18507,18410,18485,18516,18567,18588,18597,18351,18514,18432,18415,18499,18381,18418,18299,18377,18235,18338,18390,18536,18472,18458,18686,18582,18536,18536,18342,18432,18504,18390,18461,18433,18421,18601
7,9.8912,1.6,1333.1,325.6,120.48,0.18613,55.902,40,0.5,500,18659,18915,18708,18866,18712,18877,18682,18924,18850,18606,18689,18825,18820,18684,18821,18767,18746,18669,18450,18369,14026,17058,18479,18473,18607,18721,18845,18825,18945,18726,18859,18831,18893,18635,18757,18687,18786,18761,18778,18820,18751,18832,18790,18735,18717,18731,18755,18785,18800,18783,18783,18833,18809,18837,18787,18791,18808,18853,18718,18788,18766,18810,18751,18705,18644,18945,18707,18735,18758,18822,19120,18782,18738,18755,18746,18839,18830,18730,18648,18784,18785
7.14,9.988,1.6,1316,343.81,115.59,0.19968,59.971,40,0.5,500,17964,18096,17875,17951,17924,17915,17723,17980,17826,17946,18003,18013,17936,18082,17954,17985,17972,18054,17743,17454,13373,16274,17399,17771,17917,17864,17893,17909,17938,17945,17812,17945,17838,17909,17887,17975,17946,17815,17869,17964,17926,17795,17949,18063,18018,18054,17957,17956,17924,17928,18059,17945,17785,17983,18068,18016,17801,17890,17912,17937,17999,17955,17764,17891,18032,17924,18055,18040,17969,18000,17987,18121,17853,17899,17876,17946,17980,18018,18010,17867,17993
7.27,9.9443,1.6,1285.2,372.38,103.84,0.12035,36.146,40,0.5,500,15199,15394,15087,15416,15400,15206,15184,15403,15313,15460,15267,15174,15229,15216,15336,15188,15385,15428,15113,13751,12452,14451,14909,15015,15241,14998,15116,15278,15311,15314,15173,15212,15385,15306,15390,15260,15158,15244,15223,15419,15420,15313,15338,15268,15337,15361,15258,15143,15205,15172,15381,15321,15375,15234,15283,15210,15249,15249,15268,15190,15186,15324,15299,15294,15530,15468,15427,15225,15393,15335,15272,15289,15166,15332,15137,15349,15367,15273,15363,15206,15304
6.26,9.9761,0.86,807.68,340.67,96.21,0.19298,57.959,40,0.5,500,15956,15997,15964,15818,15813,15897,16142,15987,16083,15827,15971,15975,15852,16041,15994,16061,16014,15960,15758,15460,13462,14894,15700,15911,15844,16034,16024,16069,15977,15910,15962,15864,16009,15966,15820,15933,16157,15936,15929,15958,15960,16088,15917,15858,15887,15976,15950,16099,15949,15770,15987,16022,15987,15881,15935,15919,15876,15976,15936,15934,15958,15936,16027,16080,15840,16070,15789,15953,16015,15878,16183,15904,15873,16013,16038,15959,15960,15835,16052,16007,16069
