pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
6.24,9.987,0.43,466.48,207.55,122.04,0.81884,245.93,43,4,500,23436,23382,23372,23164,22953,22887,22667,22856,22446,22201,22118,22244,21675,21335,21038,20501,19958,19364,18094,16148,13741,10475,7027.4,4420.1,4473.2,6907.9,10460,13513,15689,17330,18547,19498,20432,20791,20851,21530,21718,21854,21828,21907,22122,22266,22163,22373,22284,22407,22517,22558,22565,22586,22607,22875,22695,22691,22607,22486,22794,22874,22943,22860,22798,22763,22789,22799,22898,22776,22815,22912,23050,23059,23014,22915,22995,23207,23100,22989,22878,23144,23345,23404,23169
6.38,9.9761,0.43,491.47,236.74,106.46,0.73074,219.47,43,4,500,22714,22672,22554,22484,22330,22306,22145,22061,21653,21519,21630,21507,21238,20871,20547,20049,19342,18627,17205,15579,12968,9240.6,5398.1,3653.3,5440.7,8855.9,12303,14691,16719,18048,18920,19582,20306,20559,20740,20909,21332,21346,21508,21578,21701,21708,21759,21617,21746,21668,21794,21668,21985,21801,21954,21911,22119,21778,22130,21989,21762,22065,22133,22264,22137,21987,22271,22199,22047,22138,22179,21972,22006,22223,21969,22218,22402,22545,22532,22481,22401,22550,22593,22593,22443
6.58,9.98,0.43,487.53,236.68,102.65,0.69654,209.19,43,4,500,22416,22224,22365,22203,22247,21700,21689,21582,21322,21429,21125,21148,20806,20529,20493,19761,19194,18180,17057,15020,12332,8528.2,5246.9,3863,6076.5,9518.3,12863,15084,16774,18134,18835,19566,19796,20349,20580,20930,20978,21118,21352,21181,21447,21336,21280,21422,21372,21562,21450,21638,21735,21453,21659,21413,21777,21509,21703,21667,21601,21612,21796,21727,21897,21802,21685,21946,21814,21857,21858,21928,21691,21804,21923,21871,22077,22125,21983,22035,22018,22300,22135,22183,22463
6.69,9.9582,0.43,480.72,239.46,104.4,0.58263,174.98,43,4,500,22185,22027,21937,22098,21722,21520,21327,21475,21347,21265,20779,20676,20691,20040,19920,19132,18668,17462,15898,13411,10284,6466.2,3721.5,4446.4,7603,11036,13721,15741,17298,18389,18800,19554,20080,20375,20671,21003,20931,21034,21173,21128,21197,21147,21094,21330,21237,21439,21413,21517,21371,21524,21297,21347,21404,21464,21322,21446,21632,21653,21432,21559,21388,21552,21603,21357,21600,21665,21604,21678,21798,21746,21601,21838,21792,21897,22030,21867,21785,21957,22094,22053,22110
6.84,9.9502,0.43,476.99,229.01,112.79,0.39608,118.96,43,4,500,21895,21864,21874,21884,21795,21198,21070,21055,20939,20934,20531,20118,19923,19568,19034,18184,17114,15430,13211,10216,6519.1,4207.1,4470.3,7118.3,10432,13307,15256,16682,17845,18605,19319,19630,19972,20267,20556,20622,20706,20775,21024,20881,21059,21072,21070,21062,21215,21167,21270,21090,21023,21171,21334,21397,21238,21371,21153,21375,21220,21332,21124,21316,21248,21451,21373,21280,21366,21562,21394,21403,21424,21509,21650,21677,21800,21673,21651,21780,21744,21904,21763,21851,21817
6.99,9.8863,0.43,495.57,211.45,113.97,0.28565,85.791,43,4,500,20529,20742,20689,20577,20557,20065,19877,19580,19566,19233,19068,18915,18334,18054,17247,16391,15384,13096,10781,7410.4,4405,3495.7,5279.9,8215.3,10943,13324,14759,16154,16930,17584,18112,18718,18829,19074,19233,19411,19412,19378,19413,19544,19478,19568,19709,19580,19650,19700,19516,19574,19714,19575,19630,19739,19741,19829,20022,19880,20018,19924,19995,20003,20054,20103,20236,20057,20077,20150,20355,20209,20242,20231,20436,20364,20259,20605,20414,20451,20531,20633,20627,20522,20595
7.15,9.986,0.43,482.27,217.44,107.64,0.4021,120.76,43,4,500,20610,20500,20553,20523,20448,20064,20232,19929,19878,19516,19244,19151,18974,18456,18005,17154,16168,14765,12488,9698.6,6129.9,3455.3,3893.3,6734.2,9669.9,12332,14401,15749,16790,17420,17859,18571,18743,19154,19227,19464,19613,19749,19553,19784,19699,19772,19804,19882,19676,19658,19950,19557,19670,19926,19805,19764,19766,19930,19852,19954,20071,19945,20048,20249,20063,20234,20069,20116,20207,20251,20289,20239,20336,20326,20327,20310,20434,20112,20497,20443,20441,20470,20435,20574,20632
7.29,9.9721,0.43,463.72,215.8,105.44,0.31569,94.813,43,4,500,20628,20477,20422,20461,20472,19813,19785,19571,19531,19423,19078,18754,18573,18201,17744,16614,15498,13675,11352,8224.4,4814.2,3514.9,4646.7,7955.4,10864,13226,14812,16088,16950,17629,18078,18511,18653,19142,19061,19230,19400,19304,19471,19597,19677,19491,19476,19651,19575,19570,19711,19503,19511,19509,19396,19520,19671,19855,19732,19862,19932,19875,19871,19955,20078,20073,19835,20026,20020,20236,20176,20235,20181,20050,20076,20397,20526,20653,20467,20423,20417,20498,20420,20508,20544
6.22,4.988,3.4,4335.4,549.55,107.14,0.29719,89.257,43,4,500,9321.4,9596.3,9429.4,9441.4,9170.3,9077.9,8954.9,8695.9,8615.6,8533.2,8236.5,8226.6,7698.6,7488.9,7181.1,6444.4,6004.1,4598.6,3492.4,2200.1,1076,810.89,1085.4,1892.1,2861.8,4048.6,4689.4,5481.7,5699.3,6474.4,6935.4,7196.7,7534.8,7647.4,8102.3,8155.4,8260.1,8401.9,8461.1,8536.2,8487.5,8595.7,8681.3,8705.1,8495,8764.8,8795.1,8811.4,8687.5,8745.6,8845.6,9073.9,9104.8,8895.3,8907.4,8895.5,8876.8,8998.2,8975.7,8929.1,8966.8,9015.9,8957.5,9000.8,9039.2,9022.3,8965.9,8948.8,9023.6,9043,9101.5,9254.1,9228.5,9291.9,9210.8,9182.9,9222.3,9165.4,9234.4,9394.4,9327
